Country/area,Type,Age Category,Capacity (MW),Capacity %
Dominican Republic,Hydropower,30-39 years,0.158,32.64462809917356
Dominican Republic,Hydropower,40-49 years,0.0,0.0
Dominican Republic,Hydropower,50+ years,0.134,27.685950413223143
Dominican Republic,Bioenergy,0-9 years,0.03,100.0
Dominican Republic,Bioenergy,10-19 years,0.0,0.0
Dominican Republic,Bioenergy,20-29 years,0.0,0.0
Dominican Republic,Bioenergy,30-39 years,0.0,0.0
Dominican Republic,Bioenergy,40-49 years,0.0,0.0
Dominican Republic,Bioenergy,50+ years,0.0,0.0
Ecuador,Oil and gas,0-9 years,0.32302,21.85343544502476
Ecuador,Oil and gas,10-19 years,0.392,26.520174275430954
Ecuador,Oil and gas,20-29 years,0.48460000000000003,32.78488891294347
Ecuador,Oil and gas,30-39 years,0.0,0.0
Ecuador,Oil and gas,40-49 years,0.2785,18.84150136660082
Ecuador,Oil and gas,50+ years,0.0,0.0
Ecuador,Utility-scale solar,0-9 years,0.026,87.4702264806018
Ecuador,Utility-scale solar,10-19 years,0.0037244,12.529773519398205
Ecuador,Utility-scale solar,20-29 years,0.0,0.0
Ecuador,Utility-scale solar,30-39 years,0.0,0.0
Ecuador,Utility-scale solar,40-49 years,0.0,0.0
Ecuador,Utility-scale solar,50+ years,0.0,0.0
Ecuador,Wind,0-9 years,0.05,75.75757575757575
Ecuador,Wind,10-19 years,0.016,24.242424242424242
Ecuador,Wind,20-29 years,0.0,0.0
Ecuador,Wind,30-39 years,0.0,0.0
Ecuador,Wind,40-49 years,0.0,0.0
Ecuador,Wind,50+ years,0.0,0.0
Ecuador,Hydropower,0-9 years,2.925,55.67186905215075
Ecuador,Hydropower,10-19 years,0.651,12.390559573658164
Ecuador,Hydropower,20-29 years,0.0,0.0
Ecuador,Hydropower,30-39 years,0.388,7.384849638370765
Ecuador,Hydropower,40-49 years,1.172,22.30681385610963
Ecuador,Hydropower,50+ years,0.118,2.2459078797106966
Ecuador,Bioenergy,0-9 years,0.0,0.0
Ecuador,Bioenergy,10-19 years,0.073,100.0
Ecuador,Bioenergy,20-29 years,0.0,0.0
Ecuador,Bioenergy,30-39 years,0.0,0.0
Ecuador,Bioenergy,40-49 years,0.0,0.0
Ecuador,Bioenergy,50+ years,0.0,0.0
Egypt,Oil and gas,0-9 years,24.4217,46.89761783598498
Egypt,Oil and gas,10-19 years,16.47,31.627764068786067
Egypt,Oil and gas,20-29 years,5.1698,9.927699737875544
Egypt,Oil and gas,30-39 years,4.223,8.109535377199974
Egypt,Oil and gas,40-49 years,1.79,3.437382980153434
Egypt,Oil and gas,50+ years,0.0,0.0
Egypt,Utility-scale solar,0-9 years,3.06957,98.89333487976495
Egypt,Utility-scale solar,10-19 years,0.03435,1.1066651202350575
Egypt,Utility-scale solar,20-29 years,0.0,0.0
Egypt,Utility-scale solar,30-39 years,0.0,0.0
Egypt,Utility-scale solar,40-49 years,0.0,0.0
Egypt,Utility-scale solar,50+ years,0.0,0.0
Egypt,Wind,0-9 years,1.347,76.0158013544018
Egypt,Wind,10-19 years,0.285,16.083521444695258
Egypt,Wind,20-29 years,0.14,7.900677200902935
Egypt,Wind,30-39 years,0.0,0.0
Egypt,Wind,40-49 years,0.0,0.0
Egypt,Wind,50+ years,0.0,0.0
Egypt,Hydropower,0-9 years,0.0,0.0
Egypt,Hydropower,10-19 years,0.128,4.40467997247075
Egypt,Hydropower,20-29 years,0.0,0.0
Egypt,Hydropower,30-39 years,0.086,2.9593943565037852
Egypt,Hydropower,40-49 years,0.27,9.29112181693049
Egypt,Hydropower,50+ years,2.422,83.34480385409498
El Salvador,Oil and gas,0-9 years,0.378,40.667025282409895
El Salvador,Oil and gas,10-19 years,0.1756,18.891877353415815
El Salvador,Oil and gas,20-29 years,0.232,24.9596557288865
El Salvador,Oil and gas,30-39 years,0.1439,15.48144163528779
El Salvador,Oil and gas,40-49 years,0.0,0.0
El Salvador,Oil and gas,50+ years,0.0,0.0
El Salvador,Utility-scale solar,0-9 years,0.46951485000000004,99.03762728622027
El Salvador,Utility-scale solar,10-19 years,0.00456239,0.9623727137797208
El Salvador,Utility-scale solar,20-29 years,0.0,0.0
El Salvador,Utility-scale solar,30-39 years,0.0,0.0
El Salvador,Utility-scale solar,40-49 years,0.0,0.0
El Salvador,Utility-scale solar,50+ years,0.0,0.0
El Salvador,Wind,0-9 years,0.054,100.0
El Salvador,Wind,10-19 years,0.0,0.0
El Salvador,Wind,20-29 years,0.0,0.0
El Salvador,Wind,30-39 years,0.0,0.0
El Salvador,Wind,40-49 years,0.0,0.0
El Salvador,Wind,50+ years,0.0,0.0
El Salvador,Hydropower,0-9 years,0.067,11.185308848080133
El Salvador,Hydropower,10-19 years,0.0,0.0
El Salvador,Hydropower,20-29 years,0.0,0.0
El Salvador,Hydropower,30-39 years,0.0,0.0
El Salvador,Hydropower,40-49 years,0.353,58.931552587646074
El Salvador,Hydropower,50+ years,0.179,29.883138564273793
El Salvador,Bioenergy,0-9 years,0.095,38.46153846153847
El Salvador,Bioenergy,10-19 years,0.107,43.31983805668016
El Salvador,Bioenergy,20-29 years,0.045,18.218623481781375
El Salvador,Bioenergy,30-39 years,0.0,0.0
El Salvador,Bioenergy,40-49 years,0.0,0.0
El Salvador,Bioenergy,50+ years,0.0,0.0
El Salvador,Geothermal,0-9 years,0.006,2.8409090909090913
El Salvador,Geothermal,10-19 years,0.0448,21.21212121212121
El Salvador,Geothermal,20-29 years,0.0562,26.609848484848484
El Salvador,Geothermal,30-39 years,0.0092,4.3560606060606055
El Salvador,Geothermal,40-49 years,0.065,30.776515151515156
El Salvador,Geothermal,50+ years,0.03,14.204545454545455
Equatorial Guinea,Hydropower,0-9 years,0.0,0.0
Equatorial Guinea,Hydropower,10-19 years,0.12,100.0
Equatorial Guinea,Hydropower,20-29 years,0.0,0.0
Equatorial Guinea,Hydropower,30-39 years,0.0,0.0
Equatorial Guinea,Hydropower,40-49 years,0.0,0.0
Equatorial Guinea,Hydropower,50+ years,0.0,0.0
Eritrea,Oil and gas,0-9 years,0.0,0.0
Eritrea,Oil and gas,10-19 years,0.0,0.0
Eritrea,Oil and gas,20-29 years,0.088,100.0
Eritrea,Oil and gas,30-39 years,0.0,0.0
Eritrea,Oil and gas,40-49 years,0.0,0.0
Eritrea,Oil and gas,50+ years,0.0,0.0
Eritrea,Utility-scale solar,0-9 years,0.0091,100.0
Eritrea,Utility-scale solar,10-19 years,0.0,0.0
Eritrea,Utility-scale solar,20-29 years,0.0,0.0
Eritrea,Utility-scale solar,30-39 years,0.0,0.0
Eritrea,Utility-scale solar,40-49 years,0.0,0.0
Eritrea,Utility-scale solar,50+ years,0.0,0.0
Estonia,Oil and gas,0-9 years,0.0,0.0
Estonia,Oil and gas,10-19 years,0.2511,54.813359528487226
Estonia,Oil and gas,20-29 years,0.0,0.0
Estonia,Oil and gas,30-39 years,0.0,0.0
Estonia,Oil and gas,40-49 years,0.207,45.18664047151277
Estonia,Oil and gas,50+ years,0.0,0.0
Estonia,Utility-scale solar,0-9 years,0.10904908163265306,100.0
Estonia,Utility-scale solar,10-19 years,0.0,0.0
Estonia,Utility-scale solar,20-29 years,0.0,0.0
Estonia,Utility-scale solar,30-39 years,0.0,0.0
Estonia,Utility-scale solar,40-49 years,0.0,0.0
Estonia,Utility-scale solar,50+ years,0.0,0.0
Estonia,Wind,0-9 years,0.429,62.354651162790695
Estonia,Wind,10-19 years,0.241,35.02906976744186
Estonia,Wind,20-29 years,0.018,2.616279069767442
Estonia,Wind,30-39 years,0.0,0.0
Estonia,Wind,40-49 years,0.0,0.0
Estonia,Wind,50+ years,0.0,0.0
Eswatini,Utility-scale solar,0-9 years,0.01244461942257218,100.0
Eswatini,Utility-scale solar,10-19 years,0.0,0.0
Eswatini,Utility-scale solar,20-29 years,0.0,0.0
Eswatini,Utility-scale solar,30-39 years,0.0,0.0
Eswatini,Utility-scale solar,40-49 years,0.0,0.0
Eswatini,Utility-scale solar,50+ years,0.0,0.0
Ethiopia,Wind,0-9 years,0.24,42.5531914893617
Ethiopia,Wind,10-19 years,0.324,57.446808510638306
Ethiopia,Wind,20-29 years,0.0,0.0
Ethiopia,Wind,30-39 years,0.0,0.0
Ethiopia,Wind,40-49 years,0.0,0.0
Ethiopia,Wind,50+ years,0.0,0.0
Ethiopia,Hydropower,0-9 years,1.004,21.09686909014499
Ethiopia,Hydropower,10-19 years,3.147,66.12733767598235
Ethiopia,Hydropower,20-29 years,0.257,5.400294179449464
Ethiopia,Hydropower,30-39 years,0.153,3.2149611262870352
Ethiopia,Hydropower,40-49 years,0.0,0.0
Ethiopia,Hydropower,50+ years,0.198,4.160537928136163
Ethiopia,Bioenergy,0-9 years,0.181,85.37735849056604
Ethiopia,Bioenergy,10-19 years,0.031,14.622641509433961
Ethiopia,Bioenergy,20-29 years,0.0,0.0
Ethiopia,Bioenergy,30-39 years,0.0,0.0
Ethiopia,Bioenergy,40-49 years,0.0,0.0
Ethiopia,Bioenergy,50+ years,0.0,0.0
Faroe Islands,Wind,0-9 years,0.025,67.56756756756756
Faroe Islands,Wind,10-19 years,0.012,32.432432432432435
Faroe Islands,Wind,20-29 years,0.0,0.0
Faroe Islands,Wind,30-39 years,0.0,0.0
Faroe Islands,Wind,40-49 years,0.0,0.0
Faroe Islands,Wind,50+ years,0.0,0.0
Fiji,Wind,0-9 years,0.0,0.0
Fiji,Wind,10-19 years,0.01,100.0
Fiji,Wind,20-29 years,0.0,0.0
Fiji,Wind,30-39 years,0.0,0.0
Fiji,Wind,40-49 years,0.0,0.0
Fiji,Wind,50+ years,0.0,0.0
Fiji,Hydropower,0-9 years,0.0,0.0
Fiji,Hydropower,10-19 years,0.0,0.0
Fiji,Hydropower,20-29 years,0.0,0.0
Fiji,Hydropower,30-39 years,0.0,0.0
Fiji,Hydropower,40-49 years,0.08,100.0
Fiji,Hydropower,50+ years,0.0,0.0
Finland,Coal,0-9 years,0.0,0.0
Finland,Coal,10-19 years,0.0,0.0
Finland,Coal,20-29 years,0.0,0.0
Finland,Coal,30-39 years,0.614,62.449145646867365
Finland,Coal,40-49 years,0.3692,37.55085435313262
Finland,Coal,50+ years,0.0,0.0
Finland,Oil and gas,0-9 years,0.156,6.750324534833406
Finland,Oil and gas,10-19 years,0.554,23.972306360882733
Finland,Oil and gas,20-29 years,0.637,27.563825183903074
Finland,Oil and gas,30-39 years,0.4,17.308524448290783
Finland,Oil and gas,40-49 years,0.0,0.0
Finland,Oil and gas,50+ years,0.564,24.405019472090004
Finland,Utility-scale solar,0-9 years,0.027919999999999997,100.0
Finland,Utility-scale solar,10-19 years,0.0,0.0
Finland,Utility-scale solar,20-29 years,0.0,0.0
Finland,Utility-scale solar,30-39 years,0.0,0.0
Finland,Utility-scale solar,40-49 years,0.0,0.0
Finland,Utility-scale solar,50+ years,0.0,0.0
Finland,Wind,0-9 years,6.5866999999999996,89.00104044212034
Finland,Wind,10-19 years,0.8025,10.84356885159512
Finland,Wind,20-29 years,0.0115,0.15539070628454066
Finland,Wind,30-39 years,0.0,0.0
Finland,Wind,40-49 years,0.0,0.0
Finland,Wind,50+ years,0.0,0.0
Finland,Hydropower,0-9 years,0.0,0.0
Finland,Hydropower,10-19 years,0.0,0.0
Finland,Hydropower,20-29 years,0.0,0.0
Finland,Hydropower,30-39 years,0.0,0.0
Finland,Hydropower,40-49 years,0.134,6.539775500244022
Finland,Hydropower,50+ years,1.915,93.46022449975598
Finland,Nuclear,0-9 years,1.72,37.21332756382518
Finland,Nuclear,10-19 years,0.0,0.0
Finland,Nuclear,20-29 years,0.0,0.0
Finland,Nuclear,30-39 years,0.0,0.0
Finland,Nuclear,40-49 years,2.902,62.78667243617482
Finland,Nuclear,50+ years,0.0,0.0
Finland,Bioenergy,0-9 years,0.834,42.703533026113675
Finland,Bioenergy,10-19 years,0.59,30.209933435739888
Finland,Bioenergy,20-29 years,0.328,16.794674859190987
Finland,Bioenergy,30-39 years,0.053,2.713773681515617
Finland,Bioenergy,40-49 years,0.148,7.578084997439836
Finland,Bioenergy,50+ years,0.0,0.0
France,Coal,0-9 years,0.0,0.0
France,Coal,10-19 years,0.0,0.0
France,Coal,20-29 years,0.0,0.0
France,Coal,30-39 years,0.0,0.0
France,Coal,40-49 years,1.907,100.0
France,Coal,50+ years,0.0,0.0
France,Oil and gas,0-9 years,1.1055,9.656961660420873
France,Oil and gas,10-19 years,6.551,57.22546887147637
France,Oil and gas,20-29 years,2.5543,22.3127789861719
France,Oil and gas,30-39 years,0.37589999999999996,3.2836290259178704
France,Oil and gas,40-49 years,0.595,5.19755059968378
France,Oil and gas,50+ years,0.266,2.323610856329219
France,Utility-scale solar,0-9 years,7.976955,74.39875589133375
France,Utility-scale solar,10-19 years,2.7449380000000003,25.60124410866626
France,Utility-scale solar,20-29 years,0.0,0.0
France,Utility-scale solar,30-39 years,0.0,0.0
France,Utility-scale solar,40-49 years,0.0,0.0
France,Utility-scale solar,50+ years,0.0,0.0
France,Wind,0-9 years,11.9553,54.87959384152108
France,Wind,10-19 years,9.2393,42.41207091247946
France,Wind,20-29 years,0.567,2.602756075392709
France,Wind,30-39 years,0.0,0.0
France,Wind,40-49 years,0.0,0.0
France,Wind,50+ years,0.023,0.10557917060675891
France,Hydropower,0-9 years,0.097,0.4974103892108097
France,Hydropower,10-19 years,0.055,0.28203681862468594
France,Hydropower,20-29 years,0.0,0.0
France,Hydropower,30-39 years,2.546,13.055740731244553
France,Hydropower,40-49 years,3.856,19.77334495666889
France,Hydropower,50+ years,12.947,66.39146710425106
France,Nuclear,0-9 years,0.0,0.0
France,Nuclear,10-19 years,0.0,0.0
France,Nuclear,20-29 years,6.242,9.747033104309805
France,Nuclear,30-39 years,26.588,41.51780137414116
France,Nuclear,40-49 years,31.21,48.735165521549035
France,Nuclear,50+ years,0.0,0.0
France,Bioenergy,0-9 years,0.06,14.705882352941178
France,Bioenergy,10-19 years,0.102,25.0
France,Bioenergy,20-29 years,0.032,7.8431372549019605
France,Bioenergy,30-39 years,0.15,36.76470588235294
France,Bioenergy,40-49 years,0.0,0.0
France,Bioenergy,50+ years,0.064,15.686274509803921
France,Geothermal,0-9 years,0.0,0.0
France,Geothermal,10-19 years,0.0017,100.0
France,Geothermal,20-29 years,0.0,0.0
France,Geothermal,30-39 years,0.0,0.0
France,Geothermal,40-49 years,0.0,0.0
France,Geothermal,50+ years,0.0,0.0
French Guiana,Utility-scale solar,0-9 years,0.0056555,20.6363686121399
French Guiana,Utility-scale solar,10-19 years,0.02175,79.3636313878601
French Guiana,Utility-scale solar,20-29 years,0.0,0.0
French Guiana,Utility-scale solar,30-39 years,0.0,0.0
French Guiana,Utility-scale solar,40-49 years,0.0,0.0
French Guiana,Utility-scale solar,50+ years,0.0,0.0
French Guiana,Hydropower,0-9 years,0.0,0.0
French Guiana,Hydropower,10-19 years,0.0,0.0
French Guiana,Hydropower,20-29 years,0.0,0.0
French Guiana,Hydropower,30-39 years,0.116,100.0
French Guiana,Hydropower,40-49 years,0.0,0.0
French Guiana,Hydropower,50+ years,0.0,0.0
Gabon,Oil and gas,0-9 years,0.0,0.0
Gabon,Oil and gas,10-19 years,0.225,100.0
Gabon,Oil and gas,20-29 years,0.0,0.0
Gabon,Oil and gas,30-39 years,0.0,0.0
Gabon,Oil and gas,40-49 years,0.0,0.0
Gabon,Oil and gas,50+ years,0.0,0.0
Gabon,Hydropower,0-9 years,0.0,0.0
Gabon,Hydropower,10-19 years,0.16,55.94405594405595
Gabon,Hydropower,20-29 years,0.0,0.0
Gabon,Hydropower,30-39 years,0.0,0.0
Gabon,Hydropower,40-49 years,0.126,44.05594405594406
Gabon,Hydropower,50+ years,0.0,0.0
Georgia,Oil and gas,0-9 years,0.255,21.82845403184386
Georgia,Oil and gas,10-19 years,0.3412,29.207327512412256
Georgia,Oil and gas,20-29 years,0.0,0.0
Georgia,Oil and gas,30-39 years,0.3,25.680534155110422
Georgia,Oil and gas,40-49 years,0.0,0.0
Georgia,Oil and gas,50+ years,0.272,23.283684300633453
Georgia,Wind,0-9 years,0.0207,100.0
Georgia,Wind,10-19 years,0.0,0.0
Georgia,Wind,20-29 years,0.0,0.0
Georgia,Wind,30-39 years,0.0,0.0
Georgia,Wind,40-49 years,0.0,0.0
Georgia,Wind,50+ years,0.0,0.0
Georgia,Hydropower,0-9 years,0.431,15.027894002789399
Georgia,Hydropower,10-19 years,0.085,2.96373779637378
Georgia,Hydropower,20-29 years,0.0,0.0
Georgia,Hydropower,30-39 years,0.046,1.6039051603905161
Georgia,Hydropower,40-49 years,1.568,54.67224546722454
Georgia,Hydropower,50+ years,0.738,25.732217573221757
Germany,Coal,0-9 years,1.1,3.797018305080065
Germany,Coal,10-19 years,7.127,24.601226782096024
Germany,Coal,20-29 years,6.715,23.179070835102397
Germany,Coal,30-39 years,3.7874,13.073479207872943
Germany,Coal,40-49 years,5.588,19.288852989806728
Germany,Coal,50+ years,4.652699999999999,16.060351880041836
Germany,Oil and gas,0-9 years,7.62005,22.54872282445461
Germany,Oil and gas,10-19 years,8.72096,25.806459249369183
Germany,Oil and gas,20-29 years,7.103800000000001,21.021071672805384
Germany,Oil and gas,30-39 years,1.9158,5.669102327030681
Germany,Oil and gas,40-49 years,3.0304,8.967349249312964
Germany,Oil and gas,50+ years,5.402699999999999,15.987294677027176
Germany,Utility-scale solar,0-9 years,17.056719777777776,64.98334509411617
Germany,Utility-scale solar,10-19 years,9.103852037037036,34.684204601831496
Germany,Utility-scale solar,20-29 years,0.08726099999999999,0.33245030405233345
Germany,Utility-scale solar,30-39 years,0.0,0.0
Germany,Utility-scale solar,40-49 years,0.0,0.0
Germany,Utility-scale solar,50+ years,0.0,0.0
Germany,Wind,0-9 years,21.488,46.279425383902996
Germany,Wind,10-19 years,17.542,37.780793004673605
Germany,Wind,20-29 years,7.324,15.773944132153087
Germany,Wind,30-39 years,0.077,0.16583747927031509
Germany,Wind,40-49 years,0.0,0.0
Germany,Wind,50+ years,0.0,0.0
Germany,Hydropower,0-9 years,0.0,0.0
Germany,Hydropower,10-19 years,0.14,2.0570085218924477
Germany,Hydropower,20-29 years,1.06,15.574493094328535
Germany,Hydropower,30-39 years,0.154,2.262709374081693
Germany,Hydropower,40-49 years,2.12,31.14898618865707
Germany,Hydropower,50+ years,3.332,48.956802821040256
Germany,Bioenergy,0-9 years,0.0,0.0
Germany,Bioenergy,10-19 years,0.386,36.97318007662835
Germany,Bioenergy,20-29 years,0.371,35.53639846743295
Germany,Bioenergy,30-39 years,0.092,8.812260536398467
Germany,Bioenergy,40-49 years,0.04,3.8314176245210727
Germany,Bioenergy,50+ years,0.155,14.846743295019158
Germany,Geothermal,0-9 years,0.0,0.0
Germany,Geothermal,10-19 years,0.0189,100.0
Germany,Geothermal,20-29 years,0.0,0.0
Germany,Geothermal,30-39 years,0.0,0.0
Germany,Geothermal,40-49 years,0.0,0.0
Germany,Geothermal,50+ years,0.0,0.0
Ghana,Oil and gas,0-9 years,2.347,64.67346376412235
Ghana,Oil and gas,10-19 years,0.952,26.233122072196196
Ghana,Oil and gas,20-29 years,0.33,9.093414163681455
Ghana,Oil and gas,30-39 years,0.0,0.0
Ghana,Oil and gas,40-49 years,0.0,0.0
Ghana,Oil and gas,50+ years,0.0,0.0
Ghana,Utility-scale solar,0-9 years,0.276346154855643,100.0
Ghana,Utility-scale solar,10-19 years,0.0,0.0
Ghana,Utility-scale solar,20-29 years,0.0,0.0
Ghana,Utility-scale solar,30-39 years,0.0,0.0
Ghana,Utility-scale solar,40-49 years,0.0,0.0
Ghana,Utility-scale solar,50+ years,0.0,0.0
Ghana,Hydropower,0-9 years,0.0,0.0
Ghana,Hydropower,10-19 years,0.404,25.5050505050505
Ghana,Hydropower,20-29 years,0.0,0.0
Ghana,Hydropower,30-39 years,0.0,0.0
Ghana,Hydropower,40-49 years,0.16,10.1010101010101
Ghana,Hydropower,50+ years,1.02,64.39393939393939
Greece,Coal,0-9 years,0.66,39.87915407854985
Greece,Coal,10-19 years,0.0,0.0
Greece,Coal,20-29 years,0.375,22.658610271903324
Greece,Coal,30-39 years,0.31,18.731117824773413
Greece,Coal,40-49 years,0.31,18.731117824773413
Greece,Coal,50+ years,0.0,0.0
Greece,Oil and gas,0-9 years,0.887,12.098314146980195
Greece,Oil and gas,10-19 years,4.3756,59.68137923509194
Greece,Oil and gas,20-29 years,1.519,20.718533471547822
Greece,Oil and gas,30-39 years,0.273,3.723607398112281
Greece,Oil and gas,40-49 years,0.184,2.5096841071525997
Greece,Oil and gas,50+ years,0.093,1.2684816411151725
Greece,Utility-scale solar,0-9 years,0.5932801688654353,99.13113244673455
Greece,Utility-scale solar,10-19 years,0.0052,0.868867553265443
Greece,Utility-scale solar,20-29 years,0.0,0.0
Greece,Utility-scale solar,30-39 years,0.0,0.0
Greece,Utility-scale solar,40-49 years,0.0,0.0
Greece,Utility-scale solar,50+ years,0.0,0.0
Greece,Wind,0-9 years,3.0764,57.971997663331265
Greece,Wind,10-19 years,1.631,30.734731565756494
Greece,Wind,20-29 years,0.597,11.249929334614734
Greece,Wind,30-39 years,0.0023,0.043341436297510694
Greece,Wind,40-49 years,0.0,0.0
Greece,Wind,50+ years,0.0,0.0
Greece,Hydropower,0-9 years,0.0,0.0
Greece,Hydropower,10-19 years,0.154,4.9374799615261304
Greece,Hydropower,20-29 years,0.5,16.03077909586406
Greece,Hydropower,30-39 years,0.36,11.542160949022122
Greece,Hydropower,40-49 years,0.723,23.18050657261943
Greece,Hydropower,50+ years,1.382,44.30907342096826
Greenland,Hydropower,0-9 years,0.0,0.0
Greenland,Hydropower,10-19 years,0.0,0.0
Greenland,Hydropower,20-29 years,0.0,0.0
Greenland,Hydropower,30-39 years,0.045,100.0
Greenland,Hydropower,40-49 years,0.0,0.0
Greenland,Hydropower,50+ years,0.0,0.0
Guadeloupe,Coal,0-9 years,0.0,0.0
Guadeloupe,Coal,10-19 years,0.0,0.0
Guadeloupe,Coal,20-29 years,0.064,100.0
Guadeloupe,Coal,30-39 years,0.0,0.0
Guadeloupe,Coal,40-49 years,0.0,0.0
Guadeloupe,Coal,50+ years,0.0,0.0
Guadeloupe,Oil and gas,0-9 years,0.0,0.0
Guadeloupe,Oil and gas,10-19 years,0.2112,100.0
Guadeloupe,Oil and gas,20-29 years,0.0,0.0
Guadeloupe,Oil and gas,30-39 years,0.0,0.0
Guadeloupe,Oil and gas,40-49 years,0.0,0.0
Guadeloupe,Oil and gas,50+ years,0.0,0.0
Guadeloupe,Utility-scale solar,0-9 years,0.019,43.52208172988822
Guadeloupe,Utility-scale solar,10-19 years,0.024655999999999997,56.47791827011178
Guadeloupe,Utility-scale solar,20-29 years,0.0,0.0
Guadeloupe,Utility-scale solar,30-39 years,0.0,0.0
Guadeloupe,Utility-scale solar,40-49 years,0.0,0.0
Guadeloupe,Utility-scale solar,50+ years,0.0,0.0
Guadeloupe,Wind,0-9 years,0.041,100.0
Guadeloupe,Wind,10-19 years,0.0,0.0
Guadeloupe,Wind,20-29 years,0.0,0.0
Guadeloupe,Wind,30-39 years,0.0,0.0
Guadeloupe,Wind,40-49 years,0.0,0.0
Guadeloupe,Wind,50+ years,0.0,0.0
Guadeloupe,Bioenergy,0-9 years,0.0,0.0
Guadeloupe,Bioenergy,10-19 years,0.038,100.0
Guadeloupe,Bioenergy,20-29 years,0.0,0.0
Guadeloupe,Bioenergy,30-39 years,0.0,0.0
Guadeloupe,Bioenergy,40-49 years,0.0,0.0
Guadeloupe,Bioenergy,50+ years,0.0,0.0
Guadeloupe,Geothermal,0-9 years,0.0,0.0
Guadeloupe,Geothermal,10-19 years,0.0,0.0
Guadeloupe,Geothermal,20-29 years,0.01,66.66666666666666
Guadeloupe,Geothermal,30-39 years,0.005,33.33333333333333
Guadeloupe,Geothermal,40-49 years,0.0,0.0
Guadeloupe,Geothermal,50+ years,0.0,0.0
Guam,Utility-scale solar,0-9 years,0.0522,61.72839506172839
Guam,Utility-scale solar,10-19 years,0.032364000000000004,38.27160493827161
Guam,Utility-scale solar,20-29 years,0.0,0.0
Guam,Utility-scale solar,30-39 years,0.0,0.0
Guam,Utility-scale solar,40-49 years,0.0,0.0
Guam,Utility-scale solar,50+ years,0.0,0.0
Guatemala,Coal,0-9 years,0.3,68.3371298405467
Guatemala,Coal,10-19 years,0.0,0.0
Guatemala,Coal,20-29 years,0.139,31.662870159453306
Guatemala,Coal,30-39 years,0.0,0.0
Guatemala,Coal,40-49 years,0.0,0.0
Guatemala,Coal,50+ years,0.0,0.0
Guatemala,Oil and gas,0-9 years,0.0,0.0
Guatemala,Oil and gas,10-19 years,0.0,0.0
Guatemala,Oil and gas,20-29 years,0.297,83.42696629213484
Guatemala,Oil and gas,30-39 years,0.059,16.573033707865168
Guatemala,Oil and gas,40-49 years,0.0,0.0
Guatemala,Oil and gas,50+ years,0.0,0.0
Guatemala,Utility-scale solar,0-9 years,0.024382150000000002,19.845151470755813
Guatemala,Utility-scale solar,10-19 years,0.09847985,80.15484852924419
Guatemala,Utility-scale solar,20-29 years,0.0,0.0
Guatemala,Utility-scale solar,30-39 years,0.0,0.0
Guatemala,Utility-scale solar,40-49 years,0.0,0.0
Guatemala,Utility-scale solar,50+ years,0.0,0.0
Guatemala,Wind,0-9 years,0.03,28.30188679245283
Guatemala,Wind,10-19 years,0.076,71.69811320754717
Guatemala,Wind,20-29 years,0.0,0.0
Guatemala,Wind,30-39 years,0.0,0.0
Guatemala,Wind,40-49 years,0.0,0.0
Guatemala,Wind,50+ years,0.0,0.0
Guatemala,Hydropower,0-9 years,0.117,13.652275379229872
Guatemala,Hydropower,10-19 years,0.184,21.47024504084014
Guatemala,Hydropower,20-29 years,0.116,13.53558926487748
Guatemala,Hydropower,30-39 years,0.0,0.0
Guatemala,Hydropower,40-49 years,0.38,44.340723453908986
Guatemala,Hydropower,50+ years,0.06,7.001166861143523
Guatemala,Bioenergy,0-9 years,0.108,12.965186074429772
Guatemala,Bioenergy,10-19 years,0.385,46.21848739495798
Guatemala,Bioenergy,20-29 years,0.3,36.014405762304925
Guatemala,Bioenergy,30-39 years,0.0,0.0
Guatemala,Bioenergy,40-49 years,0.04,4.8019207683073235
Guatemala,Bioenergy,50+ years,0.0,0.0
Guatemala,Geothermal,0-9 years,0.0,0.0
Guatemala,Geothermal,10-19 years,0.022,47.82608695652174
Guatemala,Geothermal,20-29 years,0.024,52.17391304347826
Guatemala,Geothermal,30-39 years,0.0,0.0
Guatemala,Geothermal,40-49 years,0.0,0.0
Guatemala,Geothermal,50+ years,0.0,0.0
Guinea,Oil and gas,0-9 years,0.05,100.0
Guinea,Oil and gas,10-19 years,0.0,0.0
Guinea,Oil and gas,20-29 years,0.0,0.0
Guinea,Oil and gas,30-39 years,0.0,0.0
Guinea,Oil and gas,40-49 years,0.0,0.0
Guinea,Oil and gas,50+ years,0.0,0.0
Guinea,Hydropower,0-9 years,0.45,58.44155844155844
Guinea,Hydropower,10-19 years,0.24,31.16883116883117
Guinea,Hydropower,20-29 years,0.08,10.38961038961039
Guinea,Hydropower,30-39 years,0.0,0.0
Guinea,Hydropower,40-49 years,0.0,0.0
Guinea,Hydropower,50+ years,0.0,0.0
Guinea-Bissau,Utility-scale solar,0-9 years,0.009044619422572179,100.0
Guinea-Bissau,Utility-scale solar,10-19 years,0.0,0.0
Guinea-Bissau,Utility-scale solar,20-29 years,0.0,0.0
Guinea-Bissau,Utility-scale solar,30-39 years,0.0,0.0
Guinea-Bissau,Utility-scale solar,40-49 years,0.0,0.0
Guinea-Bissau,Utility-scale solar,50+ years,0.0,0.0
Guyana,Oil and gas,0-9 years,0.072,100.0
Guyana,Oil and gas,10-19 years,0.0,0.0
Guyana,Oil and gas,20-29 years,0.0,0.0
